date,item,qty_sold
2026-07-07,Garlic,19.0
2026-07-07,Green Banana,12.1
2026-07-07,Green Mango,5.2
2026-07-07,Matoki,4.2
2026-07-07,Pan Leaves,2.4
2026-07-07,Suran,4.6
2026-07-07,Long Beans,7.6
2026-07-07,Guava,7.1
2026-07-07,Chikoo,5.0
2026-07-07,Custard Apple,2.0
2026-07-07,Alphonso Mango,6.0
2026-07-07,Kesar Mango,5.0
2026-07-07,Banganpally Mango,5.9
2026-07-08,Bindi Okra,18.3
2026-07-08,Green Chilli,5.2
2026-07-08,Coriander,6.0
2026-07-08,Mint,7.0
2026-07-08,Lauki,7.2
2026-07-08,Drum Sticks,6.5
2026-07-08,Tindoora,6.9
2026-07-08,Arbi,5.0
2026-07-08,Small Onion,20.7
2026-07-08,Amla,5.0
2026-07-08,Brinjal Purple,12.0
2026-07-08,Brinjal Green,7.5
2026-07-08,Gwar,6.7
2026-07-08,Karela,6.0
2026-07-08,Paneer,9.2
2026-07-08,Papdi,3.9
2026-07-08,Methi Leaves,7.2
2026-07-08,Toria,8.5
2026-07-08,Parwal,9.4
2026-07-08,Ashgourd,5.8
2026-07-08,Vellarikai,6.1
2026-07-08,Puja Coconut,14.1
2026-07-08,Ginger,10.3
2026-07-08,Garlic,16.4
2026-07-08,Green Banana,15.1
2026-07-08,Green Mango,5.0
2026-07-08,Matoki,4.2
2026-07-08,Pan Leaves,3.0
2026-07-08,Suran,5.3
2026-07-08,Long Beans,6.5
2026-07-08,Guava,5.9
2026-07-08,Chikoo,9.0
2026-07-08,Custard Apple,2.5
2026-07-08,Alphonso Mango,4.4
2026-07-08,Kesar Mango,4.9
2026-07-08,Banganpally Mango,6.1
2026-07-09,Bindi Okra,13.1
2026-07-09,Green Chilli,11.5
2026-07-09,Coriander,4.0
2026-07-09,Mint,5.0
2026-07-09,Lauki,8.1
2026-07-09,Drum Sticks,6.9
2026-07-09,Tindoora,8.4
2026-07-09,Arbi,4.9
2026-07-09,Small Onion,24.9
2026-07-09,Amla,4.0
2026-07-09,Brinjal Purple,5.9
2026-07-09,Brinjal Green,5.2
2026-07-09,Gwar,5.0
2026-07-09,Karela,5.8
2026-07-09,Paneer,6.9
2026-07-09,Papdi,4.0
2026-07-09,Methi Leaves,7.3
2026-07-09,Toria,9.4
2026-07-09,Parwal,4.8
2026-07-09,Ashgourd,3.9
2026-07-09,Vellarikai,5.6
2026-07-09,Puja Coconut,12.6
2026-07-09,Ginger,13.5
2026-07-09,Garlic,16.6
2026-07-09,Green Banana,7.1
2026-07-09,Green Mango,3.5
2026-07-09,Matoki,3.4
2026-07-09,Pan Leaves,2.7
2026-07-09,Suran,4.6
2026-07-09,Long Beans,6.0
2026-07-09,Guava,8.5
2026-07-09,Chikoo,9.5
2026-07-09,Custard Apple,2.6
2026-07-09,Alphonso Mango,5.1
2026-07-09,Kesar Mango,5.4
2026-07-09,Banganpally Mango,4.3
2026-07-10,Bindi Okra,20.1
2026-07-10,Green Chilli,12.7
2026-07-10,Coriander,7.0
2026-07-10,Mint,8.0
2026-07-10,Lauki,10.0
2026-07-10,Drum Sticks,12.0
2026-07-10,Tindoora,9.6
2026-07-10,Arbi,5.8
2026-07-10,Small Onion,27.8
2026-07-10,Amla,4.0
2026-07-10,Brinjal Purple,9.7
2026-07-10,Brinjal Green,10.7
2026-07-10,Gwar,6.9
2026-07-10,Karela,6.7
2026-07-10,Paneer,10.3
2026-07-10,Papdi,6.0
2026-07-10,Methi Leaves,11.0
2026-07-10,Toria,11.0
2026-07-10,Parwal,9.3
2026-07-10,Ashgourd,4.1
2026-07-10,Vellarikai,8.2
2026-07-10,Puja Coconut,12.7
2026-07-10,Ginger,14.0
2026-07-10,Garlic,20.2
2026-07-10,Green Banana,15.8
2026-07-10,Green Mango,8.4
2026-07-10,Matoki,4.8
2026-07-10,Pan Leaves,4.0
2026-07-10,Suran,6.0
2026-07-10,Long Beans,7.6
2026-07-10,Guava,11.3
2026-07-10,Chikoo,10.8
2026-07-10,Custard Apple,4.5
2026-07-10,Alphonso Mango,9.7
2026-07-10,Kesar Mango,6.6
2026-07-10,Banganpally Mango,8.3
2026-07-11,Bindi Okra,14.9
2026-07-11,Green Chilli,12.3
2026-07-11,Coriander,9.0
2026-07-11,Mint,7.0
2026-07-11,Lauki,11.7
2026-07-11,Drum Sticks,10.1
2026-07-11,Tindoora,10.9
2026-07-11,Arbi,9.1
2026-07-11,Small Onion,28.9
2026-07-11,Amla,4.7
2026-07-11,Brinjal Purple,11.9
2026-07-11,Brinjal Green,4.7
2026-07-11,Gwar,6.7
2026-07-11,Karela,2.6
2026-07-11,Paneer,6.0
2026-07-11,Papdi,5.4
2026-07-11,Methi Leaves,9.5
2026-07-11,Toria,7.9
2026-07-11,Parwal,6.5
2026-07-11,Ashgourd,7.8
2026-07-11,Vellarikai,8.0
2026-07-11,Puja Coconut,21.1
2026-07-11,Ginger,13.7
2026-07-11,Garlic,24.2
2026-07-11,Green Banana,21.0
2026-07-11,Green Mango,6.4
2026-07-11,Matoki,4.1
2026-07-11,Pan Leaves,3.7
2026-07-11,Suran,6.2
2026-07-11,Long Beans,5.7
2026-07-11,Guava,10.7
2026-07-11,Chikoo,8.7
2026-07-11,Custard Apple,4.4
2026-07-11,Alphonso Mango,7.5
2026-07-11,Kesar Mango,5.9
2026-07-11,Banganpally Mango,7.4
2026-07-12,Bindi Okra,15.6
2026-07-12,Green Chilli,11.1
2026-07-12,Coriander,5.0
2026-07-12,Mint,4.0
2026-07-12,Lauki,10.8
2026-07-12,Drum Sticks,6.5
2026-07-12,Tindoora,6.0
2026-07-12,Arbi,6.5
2026-07-12,Small Onion,23.8
2026-07-12,Amla,2.9
2026-07-12,Brinjal Purple,9.4
2026-07-12,Brinjal Green,9.1
2026-07-12,Gwar,5.3
2026-07-12,Karela,6.7
2026-07-12,Paneer,5.2
2026-07-12,Papdi,4.2
2026-07-12,Methi Leaves,6.6
2026-07-12,Toria,7.3
2026-07-12,Parwal,6.9
2026-07-12,Ashgourd,6.3
2026-07-12,Vellarikai,9.3
2026-07-12,Puja Coconut,14.8
2026-07-12,Ginger,10.8
2026-07-12,Garlic,19.1
2026-07-12,Green Banana,14.8
2026-07-12,Green Mango,5.1
2026-07-12,Matoki,4.1
2026-07-12,Pan Leaves,3.4
2026-07-12,Suran,4.9
2026-07-12,Long Beans,5.2
2026-07-12,Guava,8.3
2026-07-12,Chikoo,8.9
2026-07-12,Custard Apple,3.0
2026-07-12,Alphonso Mango,6.4
2026-07-12,Kesar Mango,5.6
2026-07-12,Banganpally Mango,5.6
